Player, PR, Luck, Score, Player, PR, Luck, Score
Ran1976,9.05,-2.1,5,YKwin,10.19,0.82,7
Efi,0,0,7,Bye,0,0,6
fridlich,1.72,1.53,7,lur,7.92,-3.02,0
GuyEliyahu,3.03,0.03,6,nadavd,2.94,1.79,7
Aviado,5.35,5.41,7,GS18671,15.85,2.69,4
KingArt,0,0,7,Bye,0,0,0
HeartGammon,11.61,-1.97,7,ys,3.18,-4.95,5
Tezka11,17.04,1.52,7,barak100,12.36,-0.16,1
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.22,1.12,7,Idan1986,11.67,-1.98,6
Danny_kondrea,6.22,-1.18,0,hmualem,6.99,2.48,7
sasha_er,16.95,2.76,7,Nissimb,5.14,0.12,3
bardak65,9.6,-0.73,6,Moriarty,8.51,0.74,7
Ran1976,11.58,0.04,1,UziMutsafy,7.33,3.88,7
Efi,12.25,-2.62,0,Avshalom,7.52,2.03,7
fridlich,3.73,0.99,7,YKwin,5.76,-2.39,2
GuyEliyahu,0,0,7,Bye,0,0,6
Aviado,5.8,-0.74,3,lur,19.13,3.79,7
KingArt,7.59,-2.69,6,nadavd,6.5,-1.58,7
HeartGammon,11.18,2.34,7,GS18671,8.83,-0.08,3
Tezka11,0,0,7,Bye,0,0,0
barak100,10.04,-3.8,2,ys,5.08,1.06,7
