Player, PR, Luck, Score, Player, PR, Luck, Score
UziMutsafy,4.92,1.41,7,Tezka11,13.14,5.38,6
Efi,7.21,1.75,7,ys,3.1,-1.55,2
hmualem,4.09,-2.89,0,Hummus,6.56,1.51,7
sasha_er,30.17,0.02,0,mirob,8.38,1.49,7
bardak65,13.7,-2.65,1,fridlich,3.67,0.94,7
Nissimb,7.38,-0.25,7,GS18671,11.14,0.16,5
Moriarty,6.74,0.79,3,Rahamimeli,13.31,6.1,7
GuyEliyahu,0,0,7,Bye,0,0,0
nadavd,6.87,-1.81,1,OvedBenZeev,10.86,2.17,7
gidio,5.69,2.32,7,MarcelDana,7.3,-1.78,0
YossiEliezer23,6.92,-0.5,5,Aviv,19.05,3.98,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,8.54,0.91,7,UziMutsafy,15.54,-2.18,0
Efi,11.72,2.52,7,Avshalom,9.09,2.66,6
hmualem,3.41,1.47,7,Tezka11,11.09,-1.69,2
sasha_er,10.46,-1.58,1,ys,4.83,2.28,7
bardak65,11.49,-4.37,5,Hummus,8.99,-1.28,7
Nissimb,3.85,-1.54,5,mirob,14.01,0.89,7
Moriarty,6.98,-3.33,2,fridlich,3.86,-0.01,7
GuyEliyahu,6.27,-0.68,7,GS18671,15.82,-3.73,1
YKwin,3.7,-1.04,4,Rahamimeli,10.86,1.64,7
nadavd,0,0,7,Bye,0,0,0
YossiEliezer23,7.14,-1.62,4,OvedBenZeev,12.8,4.44,7
Aviv,7.84,-1.95,7,MarcelDana,8.79,-3.93,6
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,6.84,-2.11,7,Efi,23.3,0.34,5
hmualem,14.74,1.88,7,UziMutsafy,9.72,-0.74,3
sasha_er,13.79,-2.36,2,Avshalom,6.48,1.33,7
bardak65,16.69,0.49,7,Tezka11,24.42,-0.53,1
Nissimb,4.61,2.01,7,ys,3.51,-0.63,6
Moriarty,13.47,3.13,7,Hummus,9,0.82,4
GuyEliyahu,4.16,1.67,7,mirob,12.88,-1.66,2
YKwin,3.17,-3.81,3,fridlich,3.58,0.49,7
nadavd,8.52,-0.64,4,GS18671,9.08,0.11,7
gidio,6.66,-0.74,2,Rahamimeli,6.67,1.98,7
YossiEliezer23,0,0,7,Bye,0,0,0
Aviv,15.43,-2.1,1,Emergi,7.53,2.12,7
MarcelDana,16.08,1.66,7,OvedBenZeev,20.05,-2.91,1
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,9.16,1.73,7,hmualem,9.57,-0.71,5
sasha_er,12.31,-0.54,7,Efi,21.21,-0.32,5
bardak65,11.69,-2.91,1,UziMutsafy,7.68,0.85,7
Nissimb,9.82,1.21,2,Avshalom,8.27,2.8,7
Moriarty,5.18,1.5,7,Tezka11,20.55,-1.31,0
GuyEliyahu,4.75,-1.16,4,ys,3.14,0.85,7
YKwin,2.52,0.58,5,Hummus,4.04,1.99,7
nadavd,8.4,0.53,6,mirob,15.56,3,7
gidio,11.59,-1.53,6,fridlich,7.12,0.34,7
YossiEliezer23,8.23,0.98,7,GS18671,12.77,-2.34,3
Aviv,15.24,1.92,7,Rahamimeli,11.74,-3.04,2
MarcelDana,0,0,7,Bye,0,0,0
